Item type;Item description;Department;Sorting;Row;Column;Text color;Background color;Salable
;MENU PEPERONE;;1;2;2;#ffffff;#800080;
;MENU BANBINO;;2;2;3;#ffffff;#800080;
;TIRAMISU';;23;4;5;#ffffff;#4169e1;
;TARTUFO NERO;;22;4;4;#ffffff;#4169e1;
;TARTUFO BIANCO;;21;4;3;#ffffff;#4169e1;
;ROSSO MEZZO;;10;2;4;#000000;#ff7f50;
;ROSSO LITRO;;11;2;5;#000000;#ff7f50;
;ROSSA PICCOLA;;4;1;4;#000000;#ffa500;
;ROSSA MEDIA;;5;1;5;#000000;#ffa500;
;ROSSA CARAFFA;;6;1;6;#000000;#ffa500;
;PROFITEROLES;;20;4;2;#ffffff;#4169e1;
;DECAFFEINATO;;25;5;6;#ffffff;#008000;
;CROSTATA FRUTTI;;19;4;1;#ffffff;#4169e1;
;COCA COLA;;18;3;6;#000000;#adff2f;
;CAFFE';;24;5;5;#ffffff;#008000;
;BOTTIGLIA PROSECCO;;9;2;3;#000000;#90ee90;
;BOTTIGLIA CABERNET;;12;2;6;#000000;#ff7f50;
;BIONDA PICCOLA;;1;1;1;#000000;#ffd700;
;BIONDA MEDIA;;2;1;2;#000000;#ffd700;
;BIONDA CARAFFA;;3;1;3;#000000;#ffd700;
;BIANCO MEZZO;;7;2;1;#000000;#90ee90;
;BIANCO LITRO;;8;2;2;#000000;#90ee90;
;ARANCIATA;;17;3;5;#000000;#adff2f;
;ACQUA NATURALE MEZZO;;13;3;1;#000000;#87ceeb;
;ACQUA NATURALE LITRO;;14;3;2;#000000;#87ceeb;
;ACQUA FRIZZANTE MEZZO;;15;3;3;#000000;#87ceeb;
;ACQUA FRIZZANTE LITRO;;16;3;4;#000000;#87ceeb;
;WURSTEL;;11;2;5;#000080;#87ceeb;
;TRIS;;4;1;4;#000000;#ffa500;
;SALSICCIA;;0;0;0;#ffffff;#4169e1;
;SALSICCE POLENTA;;2;1;2;#000000;#ffa500;
;POLENTA;;0;0;0;#ffffff;#4169e1;
;PEPERONI RIPIENI;;6;2;3;#ffffff;#006400;
;PEPERONATA;;10;4;1;#ffffff;#4169e1;
;PATATE FRITTE;;7;4;2;#ffffff;#4169e1;
;INVOLTINI PEPERONI;;5;2;2;#ffffff;#006400;
;FUNGHI;;8;5;2;#ffffff;#4169e1;
;FAGIOLI;;9;5;1;#ffffff;#4169e1;
;COSTICINE POLENTA;;1;1;1;#000000;#ffa500;
;COSTICINA;;0;0;0;#ffffff;#4169e1;
;BRACIOLA POLENTA;;3;1;3;#000000;#ffa500;
;BRACIOLA;;0;0;0;#ffffff;#4169e1;
;XXXXX;;0;2;2;#00ffff;#000000;
;TAGLIATELLE PEPERONI;;9;2;3;#ffffff;#0000ff;
;RAVIOLI PEPERONI;;8;2;4;#ffffff;#0000ff;
;PORZIONE PENNE;;0;0;0;#ffffff;#4169e1;
;PORZIONE GNOCCHI;;0;0;0;#ffffff;#4169e1;
;PENNE RAGU';;6;1;4;#ffffff;#4169e1;
;PENNE FORMAGGI;;7;1;5;#ffffff;#4169e1;
;PASTICCIO PEPERONI;;10;2;5;#ffffff;#0000ff;
;GNOCCHI RAGU';;3;1;1;#ffffff;#4169e1;
;GNOCCHI PEPERONI;;5;2;2;#ffffff;#0000ff;
;GNOCCHI FORMAGGI;;4;1;2;#ffffff;#4169e1;
;CROSTINI PEPERONI;;2;4;3;#ffffff;#008000;
;ANTIPASTO PEPERONI;;1;4;2;#ffffff;#008000;
